id,jornada,local,visitante,goles_local,goles_visitante,goleadores,asistencias,penaltis,alineacion_local,alineacion_visitante,amarillas,rojas,suspension_5_amarillas,lesiones,tarjetas_staff
60,6,Sheffield United,Liverpool,4,2,Jugador7;Jugador192;Jugador190;Jugador254;Jugador337;Jugador93,Jugador395;Jugador107;Jugador261;Jugador396;Jugador29,,"Jugador31,Jugador351,Jugador247,Jugador20,Jugador258,Jugador37,Jugador237,Jugador81,Jugador375,Jugador309,Jugador389","Jugador312,Jugador143,Jugador224,Jugador128,Jugador38,Jugador253,Jugador280,Jugador136,Jugador388,Jugador213,Jugador28",Jugador15;Jugador23,,,,Staff Liverpool (amarilla)
61,7,Manchester City,Bournemouth,1,1,Jugador392;Jugador110,Jugador193,Jugador392 (penalti),"Jugador161,Jugador156,Jugador371,Jugador227,Jugador364,Jugador286,Jugador182,Jugador366,Jugador8,Jugador54,Jugador285","Jugador395,Jugador255,Jugador47,Jugador330,Jugador195,Jugador371,Jugador91,Jugador358,Jugador107,Jugador164,Jugador362",Jugador382,Jugador240;Jugador91,,,
62,7,Brighton,Luton Town,0,2,Jugador142;Jugador396,Jugador37,,"Jugador79,Jugador372,Jugador365,Jugador144,Jugador103,Jugador364,Jugador208,Jugador359,Jugador12,Jugador334,Jugador299","Jugador142,Jugador195,Jugador179,Jugador35,Jugador283,Jugador271,Jugador97,Jugador156,Jugador163,Jugador16,Jugador125",Jugador55,Jugador193,,,
63,7,West Ham,Liverpool,2,1,Jugador397;Jugador225;Jugador295,Jugador147;Jugador229,,"Jugador39,Jugador335,Jugador142,Jugador237,Jugador353,Jugador238,Jugador21,Jugador105,Jugador143,Jugador244,Jugador146","Jugador348,Jugador107,Jugador291,Jugador43,Jugador30,Jugador68,Jugador271,Jugador49,Jugador250,Jugador287,Jugador19",,Jugador367,,Jugador278 (lesión),
64,7,Nottingham Forest,Manchester United,4,4,Jugador212;Jugador352;Jugador260;Jugador331;Jugador296;Jugador374;Jugador65;Jugador125,Jugador71;Jugador174;Jugador322;Jugador269;Jugador141;Jugador161;Jugador140,,"Jugador315,Jugador307,Jugador202,Jugador45,Jugador102,Jugador217,Jugador98,Jugador77,Jugador389,Jugador269,Jugador332","Jugador228,Jugador123,Jugador238,Jugador398,Jugador191,Jugador168,Jugador362,Jugador321,Jugador199,Jugador218,Jugador212",Jugador224,Jugador126,,,
65,7,Arsenal,Newcastle,2,4,Jugador284;Jugador171;Jugador387;Jugador150;Jugador266;Jugador218,Jugador336;Jugador45;Jugador238;Jugador395;Jugador394,,"Jugador130,Jugador188,Jugador25,Jugador351,Jugador109,Jugador79,Jugador208,Jugador349,Jugador314,Jugador361,Jugador269","Jugador290,Jugador15,Jugador46,Jugador232,Jugador132,Jugador25,Jugador223,Jugador220,Jugador274,Jugador373,Jugador210",Jugador301,,,,
66,7,Sheffield United,Aston Villa,0,0,,,,"Jugador236,Jugador272,Jugador63,Jugador117,Jugador181,Jugador287,Jugador349,Jugador316,Jugador377,Jugador340,Jugador216","Jugador361,Jugador230,Jugador14,Jugador208,Jugador304,Jugador109,Jugador364,Jugador149,Jugador228,Jugador1,Jugador116",Jugador375;Jugador294;Jugador68;Jugador202;Jugador356;Jugador396,,,,
67,7,Brentford,Burnley,1,4,Jugador71;Jugador156;Jugador150;Jugador214;Jugador23,Jugador222;Jugador79;Jugador53;Jugador116,,"Jugador24,Jugador117,Jugador225,Jugador268,Jugador151,Jugador285,Jugador157,Jugador312,Jugador56,Jugador262,Jugador149","Jugador308,Jugador195,Jugador102,Jugador174,Jugador40,Jugador369,Jugador117,Jugador284,Jugador318,Jugador285,Jugador93",Jugador265;Jugador297;Jugador60;Jugador245;Jugador259;Jugador111,,,Jugador33 (lesión),
68,7,Everton,Tottenham,1,0,Jugador113,,Jugador113 (penalti),"Jugador296,Jugador50,Jugador282,Jugador182,Jugador95,Jugador169,Jugador230,Jugador100,Jugador213,Jugador41,Jugador325","Jugador341,Jugador305,Jugador297,Jugador268,Jugador318,Jugador176,Jugador109,Jugador321,Jugador355,Jugador227,Jugador233",Jugador296;Jugador39,Jugador24;Jugador388,,,
69,7,Chelsea,Crystal Palace,3,0,Jugador209;Jugador374;Jugador399,Jugador105;Jugador381,,"Jugador302,Jugador217,Jugador268,Jugador242,Jugador263,Jugador180,Jugador171,Jugador198,Jugador17,Jugador271,Jugador135","Jugador346,Jugador48,Jugador53,Jugador344,Jugador116,Jugador192,Jugador15,Jugador31,Jugador155,Jugador271,Jugador156",,Jugador65;Jugador173,,,
70,7,Fulham,Wolves,1,0,Jugador21,,,"Jugador191,Jugador340,Jugador219,Jugador313,Jugador222,Jugador279,Jugador341,Jugador185,Jugador92,Jugador74,Jugador228","Jugador59,Jugador120,Jugador227,Jugador77,Jugador391,Jugador390,Jugador192,Jugador364,Jugador396,Jugador295,Jugador143",Jugador280;Jugador74,Jugador68,,,
71,8,Fulham,Arsenal,4,4,Jugador272;Jugador288;Jugador301;Jugador203;Jugador31;Jugador341;Jugador389;Jugador400,Jugador375;Jugador143;Jugador111;Jugador294;Jugador304;Jugador218;Jugador170,,"Jugador252,Jugador319,Jugador346,Jugador334,Jugador306,Jugador66,Jugador238,Jugador391,Jugador41,Jugador324,Jugador333","Jugador147,Jugador137,Jugador120,Jugador114,Jugador358,Jugador85,Jugador353,Jugador157,Jugador341,Jugador188,Jugador203",Jugador227;Jugador369;Jugador94;Jugador103;Jugador55,Jugador77,,,
72,8,Aston Villa,Newcastle,2,1,Jugador322;Jugador385;Jugador172,Jugador294;Jugador287,,"Jugador221,Jugador279,Jugador77,Jugador159,Jugador299,Jugador328,Jugador44,Jugador62,Jugador227,Jugador213,Jugador173","Jugador310,Jugador55,Jugador2,Jugador51,Jugador278,Jugador12,Jugador261,Jugador216,Jugador60,Jugador188,Jugador356",Jugador178;Jugador348;Jugador155;Jugador168;Jugador35;Jugador297,Jugador397,,,
73,8,West Ham,Brentford,0,0,,,,"Jugador281,Jugador226,Jugador140,Jugador57,Jugador174,Jugador326,Jugador241,Jugador169,Jugador130,Jugador308,Jugador227","Jugador26,Jugador274,Jugador295,Jugador105,Jugador272,Jugador21,Jugador318,Jugador353,Jugador95,Jugador347,Jugador358",Jugador133;Jugador314;Jugador128,Jugador223,,,
74,8,Liverpool,Bournemouth,4,1,Jugador223;Jugador221;Jugador46;Jugador130;Jugador180,Jugador286;Jugador216;Jugador376;Jugador13,,"Jugador247,Jugador287,Jugador239,Jugador105,Jugador372,Jugador309,Jugador335,Jugador248,Jugador333,Jugador4,Jugador98","Jugador40,Jugador221,Jugador363,Jugador208,Jugador180,Jugador99,Jugador35,Jugador145,Jugador332,Jugador176,Jugador251",Jugador40;Jugador379,,,,
75,8,Tottenham,Sheffield United,3,0,Jugador95;Jugador399;Jugador203,Jugador398;Jugador135,,"Jugador56,Jugador361,Jugador101,Jugador254,Jugador164,Jugador295,Jugador354,Jugador13,Jugador5,Jugador277,Jugador287","Jugador258,Jugador379,Jugador326,Jugador275,Jugador400,Jugador261,Jugador325,Jugador280,Jugador317,Jugador135,Jugador75",Jugador26;Jugador89;Jugador389;Jugador218;Jugador25,,,Jugador214 (lesión),
76,8,Nottingham Forest,Burnley,3,4,Jugador128;Jugador324;Jugador284;Jugador79;Jugador214;Jugador354;Jugador201,Jugador207;Jugador354;Jugador339;Jugador171;Jugador281;Jugador116,,"Jugador399,Jugador235,Jugador311,Jugador247,Jugador397,Jugador92,Jugador74,Jugador31,Jugador34,Jugador14,Jugador360","Jugador349,Jugador252,Jugador75,Jugador14,Jugador148,Jugador28,Jugador383,Jugador372,Jugador179,Jugador360,Jugador103",,Jugador141,,Jugador177 (lesión),Staff Burnley (amarilla)
77,8,Wolves,Chelsea,4,4,Jugador206;Jugador286;Jugador59;Jugador40;Jugador14;Jugador177;Jugador197;Jugador331,Jugador276;Jugador261;Jugador127;Jugador102;Jugador212;Jugador88;Jugador321,Jugador206 (penalti),"Jugador321,Jugador65,Jugador297,Jugador147,Jugador158,Jugador122,Jugador369,Jugador180,Jugador216,Jugador227,Jugador267","Jugador18,Jugador10,Jugador218,Jugador282,Jugador106,Jugador9,Jugador207,Jugador38,Jugador290,Jugador24,Jugador180",Jugador61;Jugador155;Jugador324,Jugador143;Jugador226,,,
78,8,Crystal Palace,Luton Town,2,0,Jugador327;Jugador248,Jugador115,,"Jugador192,Jugador245,Jugador322,Jugador240,Jugador115,Jugador217,Jugador261,Jugador390,Jugador195,Jugador262,Jugador34","Jugador394,Jugador156,Jugador228,Jugador173,Jugador290,Jugador79,Jugador116,Jugador141,Jugador317,Jugador227,Jugador320",Jugador309;Jugador128,Jugador345,,,
79,8,Manchester United,Brighton,3,3,Jugador132;Jugador38;Jugador227;Jugador292;Jugador146;Jugador30,Jugador43;Jugador223;Jugador220;Jugador67;Jugador175,,"Jugador83,Jugador110,Jugador340,Jugador345,Jugador117,Jugador383,Jugador290,Jugador170,Jugador53,Jugador15,Jugador98","Jugador196,Jugador31,Jugador375,Jugador65,Jugador201,Jugador183,Jugador394,Jugador363,Jugador145,Jugador107,Jugador149",Jugador87;Jugador310;Jugador366,Jugador204,,,
80,8,Everton,Manchester City,2,1,Jugador206;Jugador198;Jugador314,Jugador110;Jugador167,,"Jugador169,Jugador181,Jugador84,Jugador312,Jugador183,Jugador225,Jugador341,Jugador192,Jugador392,Jugador333,Jugador385","Jugador304,Jugador301,Jugador78,Jugador194,Jugador358,Jugador193,Jugador381,Jugador95,Jugador11,Jugador171,Jugador37",,Jugador214;Jugador26,,,
81,9,West Ham,Manchester United,4,3,Jugador147;Jugador261;Jugador124;Jugador34;Jugador260;Jugador117;Jugador379,Jugador322;Jugador219;Jugador236;Jugador42;Jugador198;Jugador104,,"Jugador346,Jugador115,Jugador21,Jugador9,Jugador261,Jugador288,Jugador251,Jugador135,Jugador321,Jugador323,Jugador82","Jugador137,Jugador220,Jugador328,Jugador37,Jugador277,Jugador360,Jugador96,Jugador318,Jugador399,Jugador123,Jugador121",Jugador375;Jugador90;Jugador86,,Jugador90 (pierde próximo partido),,
82,9,Tottenham,Chelsea,3,4,Jugador119;Jugador263;Jugador296;Jugador382;Jugador167;Jugador234;Jugador151,Jugador233;Jugador286;Jugador240;Jugador76;Jugador3;Jugador174,,"Jugador302,Jugador38,Jugador193,Jugador384,Jugador75,Jugador119,Jugador72,Jugador85,Jugador217,Jugador228,Jugador295","Jugador125,Jugador394,Jugador215,Jugador23,Jugador149,Jugador209,Jugador231,Jugador48,Jugador102,Jugador21,Jugador161",Jugador124;Jugador149;Jugador113;Jugador173;Jugador151;Jugador74,Jugador101;Jugador219,,,
83,9,Aston Villa,Everton,1,3,Jugador82;Jugador167;Jugador360;Jugador131,Jugador394;Jugador383;Jugador350,Jugador82 (penalti),"Jugador97,Jugador228,Jugador388,Jugador266,Jugador276,Jugador4,Jugador208,Jugador237,Jugador129,Jugador79,Jugador257","Jugador24,Jugador301,Jugador294,Jugador239,Jugador194,Jugador33,Jugador86,Jugador155,Jugador157,Jugador147,Jugador225",Jugador66,Jugador180;Jugador242,,,
84,9,Fulham,Crystal Palace,4,3,Jugador75;Jugador276;Jugador364;Jugador294;Jugador354;Jugador157;Jugador41,Jugador282;Jugador134;Jugador328;Jugador30;Jugador95;Jugador349,,"Jugador249,Jugador353,Jugador116,Jugador296,Jugador235,Jugador333,Jugador385,Jugador325,Jugador373,Jugador129,Jugador327","Jugador394,Jugador391,Jugador169,Jugador200,Jugador152,Jugador327,Jugador306,Jugador78,Jugador312,Jugador332,Jugador375",Jugador362,Jugador148,,,
85,9,Sheffield United,Liverpool,3,0,Jugador229;Jugador32;Jugador232,Jugador340;Jugador210,,"Jugador52,Jugador205,Jugador131,Jugador4,Jugador114,Jugador397,Jugador11,Jugador245,Jugador269,Jugador324,Jugador374","Jugador256,Jugador250,Jugador3,Jugador243,Jugador245,Jugador391,Jugador140,Jugador363,Jugador305,Jugador46,Jugador93",Jugador65;Jugador90;Jugador129;Jugador232,,,,
86,9,Wolves,Luton Town,4,0,Jugador244;Jugador40;Jugador155;Jugador361,Jugador144;Jugador294;Jugador225,,"Jugador235,Jugador381,Jugador284,Jugador116,Jugador52,Jugador255,Jugador95,Jugador53,Jugador279,Jugador312,Jugador140","Jugador388,Jugador376,Jugador274,Jugador91,Jugador144,Jugador275,Jugador352,Jugador114,Jugador345,Jugador262,Jugador357",Jugador179;Jugador122;Jugador381;Jugador45;Jugador47,,,,
87,9,Newcastle,Brentford,2,2,Jugador239;Jugador74;Jugador155;Jugador366,Jugador65;Jugador18;Jugador328,,"Jugador80,Jugador121,Jugador47,Jugador221,Jugador213,Jugador272,Jugador61,Jugador188,Jugador291,Jugador352,Jugador326","Jugador236,Jugador341,Jugador385,Jugador65,Jugador360,Jugador98,Jugador156,Jugador63,Jugador345,Jugador165,Jugador344",Jugador150;Jugador86;Jugador54;Jugador278;Jugador232;Jugador128,Jugador124;Jugador37,,Jugador190 (lesión),
88,9,Brighton,Nottingham Forest,3,2,Jugador140;Jugador118;Jugador192;Jugador131;Jugador29,Jugador339;Jugador216;Jugador220;Jugador272,,"Jugador149,Jugador35,Jugador387,Jugador55,Jugador105,Jugador258,Jugador233,Jugador337,Jugador159,Jugador263,Jugador322","Jugador296,Jugador54,Jugador222,Jugador313,Jugador28,Jugador279,Jugador82,Jugador48,Jugador147,Jugador388,Jugador378",Jugador342;Jugador377;Jugador78;Jugador224,,,,Staff Nottingham Forest (amarilla)
89,9,Arsenal,Manchester City,4,1,Jugador114;Jugador118;Jugador345;Jugador334;Jugador14,Jugador80;Jugador182;Jugador391;Jugador260,,"Jugador366,Jugador224,Jugador158,Jugador316,Jugador146,Jugador100,Jugador239,Jugador37,Jugador168,Jugador132,Jugador332","Jugador339,Jugador225,Jugador267,Jugador15,Jugador324,Jugador113,Jugador163,Jugador90,Jugador56,Jugador127,Jugador191",Jugador117;Jugador240;Jugador377,,,,
90,9,Burnley,Bournemouth,3,4,Jugador288;Jugador150;Jugador182;Jugador246;Jugador93;Jugador84;Jugador322,Jugador343;Jugador111;Jugador261;Jugador214;Jugador217;Jugador109,,"Jugador301,Jugador320,Jugador172,Jugador91,Jugador90,Jugador395,Jugador275,Jugador132,Jugador365,Jugador224,Jugador338","Jugador162,Jugador232,Jugador281,Jugador19,Jugador143,Jugador144,Jugador214,Jugador146,Jugador122,Jugador353,Jugador390",Jugador268;Jugador74;Jugador273;Jugador63,,,,
91,10,Arsenal,Bournemouth,4,1,Jugador221;Jugador176;Jugador195;Jugador320;Jugador164,Jugador336;Jugador130;Jugador76;Jugador141,,"Jugador379,Jugador112,Jugador41,Jugador207,Jugador206,Jugador267,Jugador60,Jugador158,Jugador132,Jugador324,Jugador176","Jugador104,Jugador330,Jugador331,Jugador290,Jugador59,Jugador118,Jugador363,Jugador208,Jugador166,Jugador34,Jugador95",,,,,
92,10,Luton Town,Crystal Palace,1,2,Jugador221;Jugador341;Jugador277,Jugador99;Jugador264,Jugador221 (penalti),"Jugador168,Jugador158,Jugador347,Jugador12,Jugador81,Jugador390,Jugador34,Jugador123,Jugador15,Jugador241,Jugador265","Jugador325,Jugador123,Jugador130,Jugador62,Jugador86,Jugador138,Jugador287,Jugador37,Jugador114,Jugador85,Jugador322",Jugador99;Jugador68;Jugador307;Jugador249;Jugador235;Jugador172,Jugador15;Jugador117,,,
93,10,Tottenham,Wolves,0,4,Jugador250;Jugador315;Jugador72;Jugador140,Jugador267;Jugador63;Jugador91,Jugador250 (penalti),"Jugador327,Jugador40,Jugador123,Jugador64,Jugador162,Jugador60,Jugador367,Jugador298,Jugador151,Jugador266,Jugador386","Jugador287,Jugador93,Jugador197,Jugador394,Jugador389,Jugador328,Jugador326,Jugador270,Jugador247,Jugador344,Jugador346",Jugador83;Jugador276;Jugador271;Jugador8;Jugador268;Jugador295,Jugador52,Jugador83 (pierde próximo partido),,
94,10,Nottingham Forest,Sheffield United,0,3,Jugador277;Jugador200;Jugador262,Jugador24;Jugador22,,"Jugador111,Jugador70,Jugador388,Jugador177,Jugador118,Jugador399,Jugador290,Jugador235,Jugador88,Jugador367,Jugador327","Jugador360,Jugador225,Jugador182,Jugador346,Jugador365,Jugador8,Jugador371,Jugador243,Jugador388,Jugador176,Jugador400",Jugador145;Jugador225;Jugador23;Jugador275;Jugador182,Jugador10,Jugador23 (pierde próximo partido),,
95,10,Everton,Fulham,2,0,Jugador221;Jugador173,Jugador265,Jugador221 (penalti),"Jugador158,Jugador20,Jugador275,Jugador149,Jugador346,Jugador228,Jugador265,Jugador345,Jugador337,Jugador391,Jugador10","Jugador60,Jugador6,Jugador36,Jugador145,Jugador130,Jugador356,Jugador252,Jugador196,Jugador204,Jugador116,Jugador142",Jugador149;Jugador186;Jugador281,,,,
96,10,Chelsea,Manchester United,1,1,Jugador216;Jugador193,Jugador225,,"Jugador340,Jugador264,Jugador159,Jugador306,Jugador394,Jugador182,Jugador200,Jugador347,Jugador43,Jugador259,Jugador171","Jugador165,Jugador339,Jugador65,Jugador322,Jugador232,Jugador260,Jugador186,Jugador342,Jugador270,Jugador193,Jugador62",,,,,
97,10,Brighton,Burnley,2,1,Jugador42;Jugador400;Jugador162,Jugador347;Jugador274,,"Jugador106,Jugador104,Jugador82,Jugador164,Jugador163,Jugador116,Jugador397,Jugador221,Jugador41,Jugador293,Jugador46","Jugador365,Jugador54,Jugador380,Jugador31,Jugador169,Jugador58,Jugador252,Jugador8,Jugador273,Jugador314,Jugador174",Jugador8;Jugador68;Jugador247;Jugador224;Jugador194;Jugador4,,Jugador68 (pierde próximo partido),,
98,10,Brentford,Manchester City,0,1,Jugador230,,,"Jugador300,Jugador272,Jugador256,Jugador211,Jugador201,Jugador119,Jugador282,Jugador199,Jugador398,Jugador289,Jugador21","Jugador282,Jugador15,Jugador123,Jugador370,Jugador327,Jugador183,Jugador292,Jugador371,Jugador335,Jugador16,Jugador389",Jugador77,Jugador320;Jugador183,,Jugador133 (lesión),
99,10,West Ham,Aston Villa,4,1,Jugador96;Jugador81;Jugador38;Jugador41;Jugador4,Jugador348;Jugador357;Jugador169;Jugador281,,"Jugador4,Jugador61,Jugador53,Jugador80,Jugador177,Jugador86,Jugador8,Jugador104,Jugador312,Jugador264,Jugador113","Jugador31,Jugador189,Jugador141,Jugador140,Jugador50,Jugador39,Jugador303,Jugador98,Jugador215,Jugador323,Jugador184",Jugador227;Jugador159;Jugador103;Jugador26;Jugador14;Jugador18,,,Jugador105 (lesión),
100,10,Newcastle,Liverpool,4,2,Jugador296;Jugador342;Jugador326;Jugador33;Jugador366;Jugador84,Jugador397;Jugador48;Jugador351;Jugador99;Jugador365,,"Jugador354,Jugador370,Jugador184,Jugador400,Jugador242,Jugador324,Jugador277,Jugador12,Jugador296,Jugador4,Jugador235","Jugador41,Jugador124,Jugador28,Jugador314,Jugador2,Jugador122,Jugador47,Jugador136,Jugador384,Jugador164,Jugador217",Jugador31;Jugador28;Jugador198;Jugador60;Jugador294;Jugador166,Jugador354,Jugador60 (pierde próximo partido),,
101,11,Manchester City,Wolves,2,4,Jugador126;Jugador87;Jugador274;Jugador84;Jugador190;Jugador20,Jugador307;Jugador245;Jugador391;Jugador107;Jugador125,,"Jugador396,Jugador257,Jugador121,Jugador132,Jugador149,Jugador278,Jugador321,Jugador374,Jugador136,Jugador357,Jugador250","Jugador243,Jugador222,Jugador259,Jugador358,Jugador314,Jugador127,Jugador129,Jugador204,Jugador281,Jugador21,Jugador182",Jugador293,Jugador137,,,
102,11,West Ham,Brighton,1,4,Jugador308;Jugador235;Jugador283;Jugador73;Jugador145,Jugador37;Jugador108;Jugador272;Jugador362,,"Jugador11,Jugador199,Jugador204,Jugador341,Jugador348,Jugador300,Jugador360,Jugador2,Jugador242,Jugador146,Jugador104","Jugador30,Jugador13,Jugador284,Jugador132,Jugador278,Jugador355,Jugador87,Jugador20,Jugador266,Jugador154,Jugador85",Jugador321;Jugador103;Jugador207;Jugador56;Jugador220,,,,
103,11,Aston Villa,Brentford,3,2,Jugador186;Jugador175;Jugador72;Jugador174;Jugador223,Jugador170;Jugador168;Jugador214;Jugador394,,"Jugador218,Jugador163,Jugador140,Jugador76,Jugador89,Jugador354,Jugador119,Jugador186,Jugador398,Jugador166,Jugador158","Jugador158,Jugador63,Jugador323,Jugador80,Jugador128,Jugador378,Jugador27,Jugador139,Jugador252,Jugador251,Jugador52",,Jugador123;Jugador19,,,
104,11,Tottenham,Manchester United,2,4,Jugador93;Jugador258;Jugador68;Jugador188;Jugador236;Jugador80,Jugador196;Jugador144;Jugador384;Jugador229;Jugador253,,"Jugador349,Jugador9,Jugador93,Jugador359,Jugador262,Jugador367,Jugador13,Jugador64,Jugador39,Jugador33,Jugador337","Jugador308,Jugador253,Jugador269,Jugador145,Jugador316,Jugador34,Jugador51,Jugador300,Jugador121,Jugador221,Jugador352",Jugador16;Jugador395;Jugador313,,,Jugador104 (lesión),
105,11,Crystal Palace,Sheffield United,0,2,Jugador133;Jugador168,Jugador221,Jugador133 (penalti),"Jugador322,Jugador359,Jugador290,Jugador261,Jugador260,Jugador321,Jugador148,Jugador292,Jugador191,Jugador136,Jugador188","Jugador136,Jugador374,Jugador222,Jugador63,Jugador209,Jugador17,Jugador299,Jugador387,Jugador48,Jugador106,Jugador353",Jugador278;Jugador51;Jugador143;Jugador386;Jugador186;Jugador344,,,,
106,11,Bournemouth,Luton Town,3,4,Jugador172;Jugador287;Jugador269;Jugador141;Jugador6;Jugador52;Jugador122,Jugador323;Jugador304;Jugador29;Jugador4;Jugador303;Jugador150,Jugador172 (penalti),"Jugador56,Jugador47,Jugador16,Jugador389,Jugador161,Jugador164,Jugador242,Jugador235,Jugador68,Jugador221,Jugador65","Jugador121,Jugador276,Jugador374,Jugador101,Jugador321,Jugador304,Jugador233,Jugador34,Jugador262,Jugador389,Jugador316",Jugador64;Jugador135,Jugador372,,,
107,11,Nottingham Forest,Fulham,0,1,Jugador313,,,"Jugador240,Jugador210,Jugador154,Jugador327,Jugador12,Jugador95,Jugador207,Jugador160,Jugador112,Jugador262,Jugador38","Jugador105,Jugador345,Jugador118,Jugador267,Jugador158,Jugador222,Jugador257,Jugador262,Jugador140,Jugador146,Jugador52",Jugador158,,,,
108,11,Everton,Arsenal,4,4,Jugador323;Jugador30;Jugador230;Jugador4;Jugador384;Jugador236;Jugador269;Jugador232,Jugador52;Jugador11;Jugador157;Jugador209;Jugador302;Jugador67;Jugador324,,"Jugador86,Jugador182,Jugador384,Jugador92,Jugador245,Jugador302,Jugador375,Jugador51,Jugador298,Jugador266,Jugador29","Jugador318,Jugador312,Jugador236,Jugador360,Jugador303,Jugador250,Jugador212,Jugador381,Jugador3,Jugador268,Jugador339",Jugador165;Jugador393;Jugador366;Jugador363;Jugador309;Jugador42,,,,
109,11,Chelsea,Burnley,4,1,Jugador267;Jugador162;Jugador203;Jugador314;Jugador365,Jugador120;Jugador50;Jugador121;Jugador39,,"Jugador169,Jugador176,Jugador188,Jugador88,Jugador341,Jugador333,Jugador268,Jugador75,Jugador113,Jugador395,Jugador397","Jugador145,Jugador253,Jugador8,Jugador68,Jugador193,Jugador171,Jugador272,Jugador174,Jugador71,Jugador346,Jugador291",Jugador159,Jugador34,,,
110,11,Liverpool,Newcastle,4,1,Jugador132;Jugador283;Jugador268;Jugador78;Jugador88,Jugador133;Jugador241;Jugador252;Jugador100,,"Jugador341,Jugador211,Jugador124,Jugador63,Jugador221,Jugador224,Jugador223,Jugador398,Jugador318,Jugador290,Jugador384","Jugador143,Jugador242,Jugador168,Jugador84,Jugador201,Jugador286,Jugador122,Jugador199,Jugador325,Jugador324,Jugador89",Jugador174;Jugador288;Jugador278;Jugador118;Jugador191,Jugador380;Jugador212,,,
111,12,Everton,Arsenal,0,3,Jugador277;Jugador264;Jugador168,Jugador326;Jugador103,,"Jugador129,Jugador121,Jugador94,Jugador213,Jugador21,Jugador344,Jugador306,Jugador58,Jugador204,Jugador379,Jugador1","Jugador168,Jugador35,Jugador111,Jugador10,Jugador93,Jugador372,Jugador189,Jugador388,Jugador275,Jugador323,Jugador92",Jugador9;Jugador19;Jugador356;Jugador18;Jugador58;Jugador312,Jugador84;Jugador327,,,
112,12,Manchester United,Nottingham Forest,4,4,Jugador127;Jugador65;Jugador73;Jugador294;Jugador174;Jugador223;Jugador340;Jugador384,Jugador223;Jugador178;Jugador176;Jugador141;Jugador321;Jugador374;Jugador330,Jugador127 (penalti),"Jugador51,Jugador93,Jugador314,Jugador222,Jugador145,Jugador77,Jugador358,Jugador75,Jugador211,Jugador112,Jugador119","Jugador283,Jugador20,Jugador119,Jugador334,Jugador207,Jugador142,Jugador278,Jugador179,Jugador258,Jugador22,Jugador370",Jugador381;Jugador102,Jugador9,,Jugador155 (lesión),Staff Nottingham Forest (amarilla)
113,12,Fulham,Newcastle,3,4,Jugador91;Jugador241;Jugador234;Jugador6;Jugador307;Jugador362;Jugador70,Jugador289;Jugador114;Jugador376;Jugador328;Jugador385;Jugador211,,"Jugador131,Jugador275,Jugador75,Jugador247,Jugador365,Jugador2,Jugador351,Jugador306,Jugador66,Jugador304,Jugador15","Jugador145,Jugador170,Jugador2,Jugador138,Jugador380,Jugador273,Jugador41,Jugador163,Jugador214,Jugador205,Jugador186",Jugador154,,,,
114,12,Manchester City,Chelsea,2,4,Jugador133;Jugador103;Jugador372;Jugador139;Jugador288;Jugador299,Jugador194;Jugador180;Jugador145;Jugador14;Jugador202,,"Jugador119,Jugador244,Jugador190,Jugador387,Jugador272,Jugador364,Jugador270,Jugador325,Jugador268,Jugador314,Jugador283","Jugador162,Jugador182,Jugador167,Jugador124,Jugador213,Jugador313,Jugador29,Jugador27,Jugador296,Jugador170,Jugador32",Jugador6;Jugador102;Jugador50;Jugador119,Jugador22,,,
115,12,Burnley,Bournemouth,2,4,Jugador326;Jugador5;Jugador195;Jugador198;Jugador36;Jugador210,Jugador299;Jugador118;Jugador390;Jugador388;Jugador164,,"Jugador148,Jugador261,Jugador134,Jugador381,Jugador146,Jugador221,Jugador72,Jugador347,Jugador194,Jugador359,Jugador282","Jugador124,Jugador356,Jugador193,Jugador382,Jugador69,Jugador148,Jugador355,Jugador199,Jugador319,Jugador364,Jugador277",Jugador299;Jugador102;Jugador190,,,,
116,12,Tottenham,Brentford,4,2,Jugador354;Jugador197;Jugador121;Jugador68;Jugador19;Jugador119,Jugador55;Jugador247;Jugador148;Jugador269;Jugador244,,"Jugador289,Jugador148,Jugador123,Jugador85,Jugador110,Jugador106,Jugador373,Jugador8,Jugador228,Jugador3,Jugador162","Jugador397,Jugador134,Jugador229,Jugador44,Jugador260,Jugador156,Jugador68,Jugador217,Jugador300,Jugador148,Jugador214",Jugador188;Jugador277;Jugador390,Jugador361;Jugador191,,,
117,12,Sheffield United,Wolves,0,4,Jugador298;Jugador278;Jugador291;Jugador62,Jugador293;Jugador396;Jugador393,,"Jugador198,Jugador389,Jugador78,Jugador208,Jugador291,Jugador163,Jugador325,Jugador17,Jugador113,Jugador241,Jugador56","Jugador163,Jugador246,Jugador320,Jugador318,Jugador157,Jugador68,Jugador172,Jugador305,Jugador78,Jugador212,Jugador175",Jugador319;Jugador104;Jugador261;Jugador316;Jugador369;Jugador160,Jugador236;Jugador46,,,
118,12,Brighton,West Ham,2,2,Jugador380;Jugador44;Jugador340;Jugador239,Jugador191;Jugador65;Jugador189,,"Jugador228,Jugador239,Jugador276,Jugador25,Jugador43,Jugador103,Jugador245,Jugador186,Jugador251,Jugador10,Jugador355","Jugador98,Jugador239,Jugador331,Jugador8,Jugador167,Jugador363,Jugador382,Jugador249,Jugador364,Jugador247,Jugador383",Jugador326;Jugador118;Jugador155,Jugador67,,,
